epoch,training_loss,training_acc,test_loss,test_acc
2,836.23114,0.72,40509.06,0.7089
2,675.078,0.76,41605.625,0.6953
2,675.47723,0.69,40976.68,0.7259
2,523.6293,0.785,39455.746,0.7205
2,731.96655,0.745,39649.91,0.7082
2,826.0323,0.7,39730.53,0.7218
2,631.59436,0.765,39530.184,0.712
2,411.19073,0.8,40068.766,0.7116
2,725.6533,0.75,40320.445,0.6951
2,1061.1808,0.7,40550.254,0.723
2,629.6318,0.71,39207.438,0.7148
2,814.4342,0.675,39573.84,0.7188
2,894.58923,0.73,39117.934,0.7096
2,635.13116,0.75,39707.34,0.7206
2,539.7911,0.745,41144.27,0.6975
2,947.99866,0.675,39224.72,0.7117
2,639.2858,0.74,39898.438,0.7214
2,842.9456,0.72,39320.598,0.7172
2,659.3889,0.73,39041.465,0.7135
2,659.29877,0.735,39332.945,0.7243
2,907.2354,0.705,39948.668,0.7073
